"stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_url","wheelchair_boarding"
"304692","304692","Dilbeek Gemeenteplein","50.847629","4.264976","https://www.delijn.be/nl/haltes/304692","1"
"208303","208303","Elsegem Meganckstraat","50.835171","3.529407","https://www.delijn.be/nl/haltes/208303","0"
"407567","407567","Wezeren School","50.733787","5.097185","https://www.delijn.be/nl/haltes/407567","0"
"410890","410890","Bree Busstation De Weeg perron 6","51.134995","5.600422","https://www.delijn.be/nl/haltes/410890","0"
"204647","204647","Steendorp Hemelrijkstraat","51.133052","4.277252","https://www.delijn.be/nl/haltes/204647","0"
"305691","305691","Halle-Booienhoven Dorp","50.808234","5.107573","https://www.delijn.be/nl/haltes/305691","0"
"301241","301241","Diest Sint-Jansplein","50.982117","5.059752","https://www.delijn.be/nl/haltes/301241","1"
"106643","106643","Weelde Schoolstraat","51.410891","4.999495","https://www.delijn.be/nl/haltes/106643","0"
"306414","306414","Liedekerke Pamelsestraat","50.868195","4.086991","https://www.delijn.be/nl/haltes/306414","0"
"308791","308791","Diegem Woluwelaan","50.895918","4.434986","https://www.delijn.be/nl/haltes/308791","0"
"310221","310221","Londerzeel Industrie","51.017679","4.315561","https://www.delijn.be/nl/haltes/310221","0"
"310623","310623","Kortenaken Koningsstraat","50.897412","5.045860","https://www.delijn.be/nl/haltes/310623","0"
"409284","409284","Zonhoven Heuveneinde","50.980764","5.365864","https://www.delijn.be/nl/haltes/409284","0"
"201371","201371","Gent Blandijnberg","51.044142","3.726423","https://www.delijn.be/nl/haltes/201371","0"
"407255","407255","Overpelt Dalakkerstraat","51.200855","5.429026","https://www.delijn.be/nl/haltes/407255","1"
"409439","409439","Zutendaal Halmstraat","50.932785","5.589312","https://www.delijn.be/nl/haltes/409439","0"
"515456","515456","Roeselare Ovenhoek","50.945314","3.093659","https://www.delijn.be/nl/haltes/515456","0"
"107256","107256","Lint Kon. Albertstraat","51.127677","4.496922","https://www.delijn.be/nl/haltes/107256","0"
"109330","109330","Aarschot Station perron 1","50.984361","4.824327","https://www.delijn.be/nl/haltes/109330","0"
"205472","205472","Waasmunster Sousbeekstraat","51.108712","4.051752","https://www.delijn.be/nl/haltes/205472","0"
"209124","209124","Strijpen Molenkouter","50.867224","3.800112","https://www.delijn.be/nl/haltes/209124","0"
"512755","512755","Ruiselede Markt","51.042036","3.397803","https://www.delijn.be/nl/haltes/512755","0"
"213214","213214","Aalter Station perron 4","51.092746","3.450073","https://www.delijn.be/nl/haltes/213214","0"
"300584","300584","Korbeek-Lo Oude Baan","50.861959","4.762471","https://www.delijn.be/nl/haltes/300584","0"
"106126","106126","Westmalle Schaggeleweg","51.297098","4.689666","https://www.delijn.be/nl/haltes/106126","1"
"202494","202494","Destelbergen Paardenstraat","51.075022","3.842452","https://www.delijn.be/nl/haltes/202494","0"
"202964","202964","Overmere Donkmeer","51.047655","3.979256","https://www.delijn.be/nl/haltes/202964","0"
"208379","208379","Melden Meldenstraat","50.819074","3.575445","https://www.delijn.be/nl/haltes/208379","0"
"515822","515822","Kemmel Polka","50.782381","2.831979","https://www.delijn.be/nl/haltes/515822","0"
"108246","108246","Bouwel Lindekens Bouwelsesteenweg","51.173138","4.742777","https://www.delijn.be/nl/haltes/108246","1"
"202496","202496","Beervelde Parochiedreef","51.079992","3.873425","https://www.delijn.be/nl/haltes/202496","0"
"509015","509015","Alveringem Zevecote","51.016633","2.741089","https://www.delijn.be/nl/haltes/509015","0"
"515817","515817","Ieper Vaubanstraat","50.849194","2.901849","https://www.delijn.be/nl/haltes/515817","0"
"204426","204426","Stekene Teerlingstraat","51.216548","4.029805","https://www.delijn.be/nl/haltes/204426","0"
"212077","212077","Mendonk Mendonkdorp","51.144641","3.819473","https://www.delijn.be/nl/haltes/212077","0"
"514794","514794","Marke Vannestesmolen","50.806088","3.246480","https://www.delijn.be/nl/haltes/514794","0"
"102565","102565","Borgerhout Gitschotellei","51.200446","4.450266","https://www.delijn.be/nl/haltes/102565","1"
"170165","170165","Merksem Calesbergdreef","51.250367","4.466272","https://www.delijn.be/nl/haltes/170165","0"
"407845","407845","Brustem Saffraanberg","50.784326","5.235694","https://www.delijn.be/nl/haltes/407845","0"
"503145","503145","Esen Kasteel","51.022102","2.865091","https://www.delijn.be/nl/haltes/503145","1"
"102153","102153","Mortsel Molenlei","51.164354","4.455459","https://www.delijn.be/nl/haltes/102153","0"
"105611","105611","Minderhout Bredaseweg","51.426593","4.758502","https://www.delijn.be/nl/haltes/105611","0"
"107366","107366","Hallaar Hallaaraard","51.090186","4.733161","https://www.delijn.be/nl/haltes/107366","0"
"109999","109999","Wommelgem Gemeentehuis","51.203085","4.522293","https://www.delijn.be/nl/haltes/109999","0"
"502482","502482","Tielt Polenplein","50.997126","3.322178","https://www.delijn.be/nl/haltes/502482","1"
"501303","501303","Stene Heidebloemstraat","51.204462","2.918136","https://www.delijn.be/nl/haltes/501303","1"
"206396","206396","Oudegem Houtland","51.012276","4.030337","https://www.delijn.be/nl/haltes/206396","0"
"310765","310765","Zemst Bos","50.976712","4.424524","https://www.delijn.be/nl/haltes/310765","0"
"400312","400312","Balen Overweg Vaartstraat","51.172441","5.156739","https://www.delijn.be/nl/haltes/400312","0"
"106422","106422","Broechem Van Den Nestlaan","51.182711","4.592481","https://www.delijn.be/nl/haltes/106422","1"
"207129","207129","Outer Kloosterstraat","50.843263","3.997458","https://www.delijn.be/nl/haltes/207129","0"
"212137","212137","Eeklo Galgenstraat","51.191431","3.542692","https://www.delijn.be/nl/haltes/212137","0"
"106205","106205","Beerse Bareelstraat","51.306932","4.832314","https://www.delijn.be/nl/haltes/106205","0"
"109910","109910","Liezele Kerk","51.060519","4.280244","https://www.delijn.be/nl/haltes/109910","0"
"219087","219087","Everbeek Koreelweg","50.767918","3.805970","https://www.delijn.be/nl/haltes/219087","0"
"304306","304306","Rotselaar Dorp","50.949415","4.713684","https://www.delijn.be/nl/haltes/304306","0"
"306705","306705","Sint-Katherina-Lombeek Nieuwbaan","50.879501","4.112257","https://www.delijn.be/nl/haltes/306705","0"
"509933","509933","Koksijde Ster der Zee","51.111938","2.622306","https://www.delijn.be/nl/haltes/509933","1"
"104369","104369","Antwerpen Gijsselsstraat","51.223072","4.378420","https://www.delijn.be/nl/haltes/104369","0"
"300858","300858","Sterrebeek Oud Station","50.863204","4.514326","https://www.delijn.be/nl/haltes/300858","0"
"301636","301636","Kester Utveld","50.772749","4.116914","https://www.delijn.be/nl/haltes/301636","0"
"407616","407616","Genoelselderen Kasteel","50.803401","5.538393","https://www.delijn.be/nl/haltes/407616","0"
"507006","507006","Aartrijke Litterveld","51.122273","3.110942","https://www.delijn.be/nl/haltes/507006","0"
"205000","205000","Lebbeke Hoeksken","50.986662","4.107471","https://www.delijn.be/nl/haltes/205000","0"
"209317","209317","Petegem Vlinderstraat","50.837560","3.567275","https://www.delijn.be/nl/haltes/209317","0"
"503657","503657","Oostnieuwkerke Bourgondisch Kruis","50.943303","3.044615","https://www.delijn.be/nl/haltes/503657","0"
"504166","504166","Ieper Kruisstraat","50.841830","2.871685","https://www.delijn.be/nl/haltes/504166","0"
"105042","105042","Mechelen Beukstraat","51.004676","4.486293","https://www.delijn.be/nl/haltes/105042","0"
"304358","304358","Wezemaal Wijngaardberg","50.954603","4.762248","https://www.delijn.be/nl/haltes/304358","0"
"306689","306689","Ternat Beekstraat","50.871215","4.158993","https://www.delijn.be/nl/haltes/306689","0"
"102937","102937","Wilrijk Kruishof","51.181663","4.391408","https://www.delijn.be/nl/haltes/102937","1"
"108410","108410","Ekeren Oorderseweg","51.281989","4.411544","https://www.delijn.be/nl/haltes/108410","0"
"219147","219147","Ename Martijn van Torhoutstraat","50.850256","3.625729","https://www.delijn.be/nl/haltes/219147","0"
"405403","405403","Overwinden Kerk","50.753559","5.048575","https://www.delijn.be/nl/haltes/405403","0"
"407891","407891","Gelmen Interbeton","50.780309","5.242522","https://www.delijn.be/nl/haltes/407891","0"
"106811","106811","Rumst Ekkersgatstraat","51.081079","4.431711","https://www.delijn.be/nl/haltes/106811","0"
"301348","301348","Schepdaal Geraardsbergsestr.","50.833948","4.194846","https://www.delijn.be/nl/haltes/301348","0"
"518763","518763","Rumbeke Moorsleedsesteenweg","50.901399","3.115120","https://www.delijn.be/nl/haltes/518763","0"
"451283","451283","Bree Zwembad","51.147441","5.601087","https://www.delijn.be/nl/haltes/451283","0"
"401346","401346","Tongerlo Bosstraat","51.131443","5.665661","https://www.delijn.be/nl/haltes/401346","0"
"407689","407689","Riemst Tramstraat","50.813614","5.602304","https://www.delijn.be/nl/haltes/407689","0"
"401970","401970","Ulbeek Kapel","50.844727","5.273562","https://www.delijn.be/nl/haltes/401970","0"
"216611","216611","Denderwindeke Krepelstraat","50.796329","4.016318","https://www.delijn.be/nl/haltes/216611","0"
"408829","408829","Moelingen Spoorwegbrug","50.751181","5.707376","https://www.delijn.be/nl/haltes/408829","0"
"404422","404422","Helchteren Technische School","51.052999","5.379810","https://www.delijn.be/nl/haltes/404422","0"
"307951","307951","Meensel-Kiezegem Meenselbaan","50.896232","4.894474","https://www.delijn.be/nl/haltes/307951","0"
"404350","404350","Schalkhoven Centrum","50.836413","5.446282","https://www.delijn.be/nl/haltes/404350","0"
"206338","206338","Buggenhout Collegestraat","51.011407","4.193051","https://www.delijn.be/nl/haltes/206338","0"
"202333","202333","Knesselare Klooster","51.143332","3.406204","https://www.delijn.be/nl/haltes/202333","1"
"511059","511059","Oostkerke Pereboom","51.270857","3.274450","https://www.delijn.be/nl/haltes/511059","0"
"107909","107909","Ruisbroek Prod. Chimique","51.084541","4.344828","https://www.delijn.be/nl/haltes/107909","0"
"206341","206341","Opstal Hof Ter Koppen","50.999965","4.175865","https://www.delijn.be/nl/haltes/206341","0"
"407771","407771","Averbode Abdijstraat","51.032387","4.980510","https://www.delijn.be/nl/haltes/407771","1"
"305038","305038","Tielt-Winge Woubeek","50.913607","4.920774","https://www.delijn.be/nl/haltes/305038","0"
